"","gameId","playId","nflId","displayName","frameId","time","jerseyNumber","club","playDirection","x","y","s","a","dis","o","dir","event","color"
"1",2022110601,2084,38553,"Riley Reiff",1,"2022-11-06 14:46:34.900000",71,"CHI","left",79.05,25.74,2.28,1.93,0.23,333.67,117.83,NA,"#c83803"
"2",2022110601,2084,38553,"Riley Reiff",2,"2022-11-06 14:46:35.000000",71,"CHI","left",79.22,25.64,2,2.13,0.2,335.41,116.57,NA,"#c83803"
"3",2022110601,2084,38553,"Riley Reiff",3,"2022-11-06 14:46:35.099999",71,"CHI","left",79.37,25.56,1.65,2.46,0.17,335.41,117.31,NA,"#c83803"
"4",2022110601,2084,38553,"Riley Reiff",4,"2022-11-06 14:46:35.200000",71,"CHI","left",79.48,25.49,1.23,2.84,0.13,334.7,120.8,NA,"#c83803"
"5",2022110601,2084,38553,"Riley Reiff",5,"2022-11-06 14:46:35.299999",71,"CHI","left",79.54,25.43,0.77,3.16,0.08,332.59,131.26,NA,"#c83803"
"6",2022110601,2084,38553,"Riley Reiff",6,"2022-11-06 14:46:35.400000",71,"CHI","left",79.54,25.39,0.42,3.5,0.05,329.4,174.4,"run","#c83803"
"7",2022110601,2084,38553,"Riley Reiff",7,"2022-11-06 14:46:35.500000",71,"CHI","left",79.5,25.36,0.58,3.54,0.05,322.36,244.44,NA,"#c83803"
"8",2022110601,2084,38553,"Riley Reiff",8,"2022-11-06 14:46:35.599999",71,"CHI","left",79.42,25.35,0.93,3.14,0.08,316.7,262.37,NA,"#c83803"
"9",2022110601,2084,38553,"Riley Reiff",9,"2022-11-06 14:46:35.700000",71,"CHI","left",79.29,25.35,1.31,2.59,0.13,308.88,270.24,NA,"#c83803"
"10",2022110601,2084,38553,"Riley Reiff",10,"2022-11-06 14:46:35.799999",71,"CHI","left",79.15,25.34,1.54,1.99,0.14,305.92,271.56,NA,"#c83803"
"11",2022110601,2084,38553,"Riley Reiff",11,"2022-11-06 14:46:35.900000",71,"CHI","left",78.96,25.35,1.88,1.65,0.19,294.69,272.66,NA,"#c83803"
"12",2022110601,2084,38553,"Riley Reiff",12,"2022-11-06 14:46:36.000000",71,"CHI","left",78.74,25.35,2.12,1.19,0.22,287.24,272.07,NA,"#c83803"
"13",2022110601,2084,38553,"Riley Reiff",13,"2022-11-06 14:46:36.099999",71,"CHI","left",78.49,25.34,2.36,0.85,0.25,284.36,269.61,NA,"#c83803"
"14",2022110601,2084,38553,"Riley Reiff",14,"2022-11-06 14:46:36.200000",71,"CHI","left",78.24,25.33,2.52,0.51,0.26,282.69,268.61,NA,"#c83803"
"15",2022110601,2084,38553,"Riley Reiff",15,"2022-11-06 14:46:36.299999",71,"CHI","left",77.96,25.31,2.67,0.48,0.28,275.19,266.77,NA,"#c83803"
"16",2022110601,2084,38553,"Riley Reiff",16,"2022-11-06 14:46:36.400000",71,"CHI","left",77.67,25.29,2.8,0.59,0.29,267.01,265.45,NA,"#c83803"
"17",2022110601,2084,38553,"Riley Reiff",17,"2022-11-06 14:46:36.500000",71,"CHI","left",77.38,25.25,2.89,0.62,0.29,261.72,263.2,NA,"#c83803"
"18",2022110601,2084,38553,"Riley Reiff",18,"2022-11-06 14:46:36.599999",71,"CHI","left",77.08,25.21,2.94,0.66,0.3,257.62,261.56,NA,"#c83803"
"19",2022110601,2084,38553,"Riley Reiff",19,"2022-11-06 14:46:36.700000",71,"CHI","left",76.77,25.16,3.06,0.68,0.32,254.87,259.94,NA,"#c83803"
"20",2022110601,2084,38553,"Riley Reiff",20,"2022-11-06 14:46:36.799999",71,"CHI","left",76.46,25.1,3.07,0.79,0.31,252.15,258.72,NA,"#c83803"
"21",2022110601,2084,38553,"Riley Reiff",21,"2022-11-06 14:46:36.900000",71,"CHI","left",76.14,25.03,3.08,0.92,0.32,249.84,257.65,NA,"#c83803"
"22",2022110601,2084,38553,"Riley Reiff",22,"2022-11-06 14:46:37.000000",71,"CHI","left",75.83,24.96,3.09,1.04,0.32,249.84,256.07,NA,"#c83803"
